id,도감번호,이름,설명,타입,키,분류,몸무게,특성
312,246,애버라스,땅속 깊은 곳에서 태어나 산을 이룰 정도의 흙을 먹고 나면 몸을 만들기 위해 번데기가 된다.,"['바위', '땅']",0.6,바위표면포켓몬,72.0,['근성']
313,247,데기라스,체내에서 압축한 가스를 기세 좋게 분출시켜 날며 난동을 피우는 번데기.,"['바위', '땅']",1.2,탄환포켓몬,152.0,['탈피']
314,248,마기라스,주변 지형을 바꾸는 정도쯤은 쉽게 해낼 정도의 힘을 가지고 있다. 주위를 신경 쓰지 않는 대담한 성격.,"['바위', '악']",2.0,갑옷포켓몬,202.0,['모래날림']
315,248,메가마기라스,한쪽 팔을 움직이는 것만으로도 산을 무너뜨리고 땅을 울리게 하는 엄청난 힘을 감추고 있다.,"['바위', '악']",2.5,갑옷포켓몬,255.0,['모래날림']
316,249,루기아,깊은 해구의 밑바닥에서 잠잔다. 루기아가 날갯짓을 하면 40일 동안 폭풍우가 계속된다고 전해진다.,"['에스퍼', '비행']",5.2,잠수포켓몬,216.0,['프레셔']
317,250,칠색조,무지개색 날개를 가지고 있다. 칠색조를 본 사람은 영원한 행복이 약속된다고 한다.,"['불꽃', '비행']",3.8,무지개색포켓몬,199.0,['프레셔']
318,251,세레비,시간을 넘어 여기저기를 방황한다. 세레비가 모습을 나타낸 숲은 초목이 무성해진다고 한다.,"['에스퍼', '풀']",0.6,시간이동포켓몬,5.0,['자연회복']
319,252,나무지기,발바닥의 작은 가시가 벽이나 천장에 걸리므로 거꾸로 매달려도 떨어지지 않는다.,['풀'],0.5,숲도마뱀포켓몬,5.0,['심록']
320,253,나무돌이,발달한 넓적다리의 근육이 경이로운 순발력과 도약력을 만들어 낸다.,['풀'],0.9,숲도마뱀포켓몬,21.6,['심록']
321,254,나무킹,정글을 가볍게 뛰어다니며 팔에 자란 예리하고 잘 드는 잎날로 먹이를 꼼짝 못 하게 한다.,['풀'],1.7,밀림포켓몬,52.2,['심록']
322,254,메가나무킹,팔에 자란 잎사귀는 큰 나무도 싹둑 베어 넘어뜨리는 정도다. 밀림의 싸움에서는 무적이다.,"['풀', '드래곤']",1.9,밀림포켓몬,55.2,['피뢰침']
323,255,아차모,몸속에 불꽃 주머니를 지니고 있어서 껴안으면 따끈따끈하다. 불꽃은 살아 있는 한 계속 불타오른다.,['불꽃'],0.4,풋내기포켓몬,2.5,['맹화']
324,256,영치코,날카로운 울음소리를 내서 집중력을 높인다. 발 기술은 뛰어난 파괴력을 자랑한다.,"['불꽃', '격투']",0.9,꼬마닭포켓몬,19.5,['맹화']
325,257,번치코,강적을 만나면 손목에서 불꽃을 내뿜는다. 점프로 빌딩을 뛰어넘는 다릿심을 가졌다.,"['불꽃', '격투']",1.9,맹화포켓몬,52.0,['맹화']
326,257,메가번치코,30층 빌딩을 점프로 넘는 점프력을 가졌다. 불꽃펀치가 상대를 태운다.,"['불꽃', '격투']",1.9,맹화포켓몬,52.0,['가속']
327,258,물짱이,큰 돌을 조각조각으로 부수는 파워를 가졌다. 강바닥에 쌓인 진흙에 몸을 묻고 쉰다.,['물'],0.4,늪물고기포켓몬,7.6,['급류']
328,259,늪짱이,걸쭉하게 질퍽거리는 땅을 밟으며 생활하기 때문에 팔다리가 단련되어 강인해졌다.,"['물', '땅']",0.7,늪물고기포켓몬,28.0,['급류']
329,260,대짱이,돌처럼 딱딱한 팔을 한 번 휘두르는 것만으로 거대한 돌을 조각조각으로 부순다.,"['물', '땅']",1.5,늪물고기포켓몬,81.9,['급류']
330,260,메가대짱이,돌처럼 딱딱한 팔을 한 번 휘두르는 것만으로 거대한 돌을 조각조각으로 부순다.,"['물', '땅']",1.9,늪물고기포켓몬,102.0,['쓱쓱']
331,261,포챠나,큰 이빨을 드러낸 채 맹렬히 짖어 대며 상대를 위협하는 것은 사실 겁이 많기 때문이다.,['악'],0.5,물어뜯기포켓몬,13.6,"['도주', '속보']"
332,262,그라에나,리더의 명령을 충실히 따른다. 뛰어난 팀워크로 노린 먹잇감을 절대 놓치지 않는다.,['악'],1.0,물어뜯기포켓몬,37.0,"['위협', '속보']"
333,263,지그제구리,지그재그로 걸어서 풀숲이나 땅에 묻혀 있는 보물을 찾아내는 것이 특기인 포켓몬이다.,['노말'],0.4,앙증너구리포켓몬,17.5,"['픽업', '먹보']"
334,263,지그제구리,가라르의 모습 정신없이 뛰어다닌다. 다른 포켓몬을 발견하면 일부러 부딪혀서 싸움을 건다.,"['악', '노말']",0.4,앙증너구리포켓몬,17.5,"['픽업', '먹보']"
335,264,직구리,시속 100km로 먹이를 덮치지만 직선으로만 달릴 수 있어서 실패할 때도 많다.,['노말'],0.5,돌진포켓몬,32.5,"['픽업', '먹보']"
336,264,직구리,가라르의 모습 긴 혀로 먹잇감을 도발한다. 화가 난 상대에게 강렬한 태클을 선사한다.,"['악', '노말']",0.5,돌진포켓몬,32.5,"['픽업', '먹보']"
337,265,개무소,잎사귀를 매우 좋아한다. 찌르꼬에게 습격당했을 때는 엉덩이의 가시로 물리친다.,['벌레'],0.3,애벌레포켓몬,3.6,['인분']
338,266,실쿤,몸에서 나오는 실을 가지에 휘감아서 떨어지지 않게 고정한다. 가만히 꼼짝 않고 진화를 기다린다.,['벌레'],0.6,번데기포켓몬,10.0,['탈피']
339,267,뷰티플라이,가늘고 긴 입을 깊이 찔러 상대의 체액을 흡수한다. 공격적인 성격이다.,"['벌레', '비행']",1.0,나비포켓몬,28.4,['벌레의알림']
340,268,카스쿤,고치 안은 온도가 높다. 그 안에서 전신의 세포가 진화의 에너지를 만들어 낸다.,['벌레'],0.7,번데기포켓몬,11.5,['탈피']
341,269,독케일,야행성 포켓몬이다. 불빛에 이끌려 나온 독케일이 가로수의 잎을 헤적거리며 먹어 댄다.,"['벌레', '독']",1.2,독나방포켓몬,31.6,['인분']
342,270,연꽃몬,머리의 잎사귀는 먼지를 튕겨 내는 성질을 가졌다. 진흙투성이인 포켓몬을 태워도 잎사귀는 여전히 깨끗하다.,"['물', '풀']",0.5,개구리밥포켓몬,2.6,"['쓱쓱', '젖은접시']"
343,271,로토스,북신의 오랜 전승에 의하면 장난꾸러기 아이가 포켓몬으로 다시 태어난 것이라고 기록되어 있다.,"['물', '풀']",1.2,명랑함포켓몬,32.5,"['쓱쓱', '젖은접시']"
344,272,로파파,경쾌한 리듬의 음파를 받으면 에너지를 만들어 내는 능력을 온몸에 갖추고 있다.,"['물', '풀']",1.5,행복하기포켓몬,55.0,"['쓱쓱', '젖은접시']"
345,273,도토링,서식지를 넓히기 위해 나무열매를 흉내 내어 새포켓몬에게 붙잡히는 방식으로 먼 곳까지 이동한다.,['풀'],0.5,도토리포켓몬,4.0,"['엽록소', '일찍기상']"
346,274,잎새코,깊은 숲속에서 조용히 지낸다. 영역을 침범한 상대에게 풀피리 소리로 경고한다.,"['풀', '악']",1.0,꾀부리기포켓몬,28.0,"['엽록소', '일찍기상']"
347,275,다탱구,고목 꼭대기에 올라 잎사귀 부채를 부치면 찬 바람이 일어서 계절이 겨울로 바뀐다고 전해진다.,"['풀', '악']",1.3,부정하기포켓몬,59.6,"['엽록소', '일찍기상']"
348,276,테일로,강한 상대에게도 용감히 맞서는 근성의 소유자다. 따뜻한 땅을 찾아서 난다.,"['노말', '비행']",0.3,아기제비포켓몬,2.3,['근성']
349,277,스왈로,상공을 선회하면서 먹이를 찾으면 거꾸로 급강하하여 낚아 챈다.,"['노말', '비행']",0.7,제비포켓몬,19.8,['근성']
350,278,갈모매,상승 기류를 타고 글라이더처럼 넓은 하늘을 돌며 부리로 집은 먹이를 운반한다.,"['물', '비행']",0.6,괭이갈매기포켓몬,9.5,"['날카로운눈', '촉촉바디']"
351,279,패리퍼,부리에 작은 포켓몬을 넣고 나는 하늘의 배달부. 바다 위에 떠서 날개를 쉬어 주기도 한다.,"['물', '비행']",1.2,물새포켓몬,28.0,"['날카로운눈', '잔비']"
352,280,랄토스,사람의 감정을 머리의 빨간 뿔로 민감하게 감지하는 힘을 가졌다.,"['에스퍼', '페어리']",0.4,느낌포켓몬,6.6,"['싱크로', '트레이스']"
353,281,킬리아,사이코 파워를 조작해 주변의 공간을 일그러뜨려 미래를 내다볼 수 있다.,"['에스퍼', '페어리']",0.8,감정포켓몬,20.2,"['싱크로', '트레이스']"
354,282,가디안,트레이너를 지키기 위해서라면 사이코 파워를 모두 써서 작은 블랙홀을 만들어 낸다.,"['에스퍼', '페어리']",1.6,포용포켓몬,48.4,"['싱크로', '트레이스']"
355,282,메가가디안,트레이너를 지키기 위해서라면 사이코 파워를 모두 써서 작은 블랙홀을 만들어 낸다.,"['에스퍼', '페어리']",1.6,포용포켓몬,48.4,['페어리스킨']
356,283,비구술,보통은 연못에서 살고 있지만 소나기가 온 뒤에는 마을 안의 물웅덩이에 모습을 드러낸다.,"['벌레', '물']",0.5,소금쟁이포켓몬,1.7,['쓱쓱']
357,284,비나방,4장의 날개로 떠올라 전후좌우 자유자재로 날아다닐 수 있다.,"['벌레', '비행']",0.8,안구포켓몬,3.6,['위협']
358,285,버섯꼬,습한 장소를 좋아해서 낮에는 숲의 그늘에서 가만히 있는다. 머리에서 독 가루를 뿌린다.,['풀'],0.4,버섯포켓몬,4.5,"['포자', '포이즌힐']"
359,286,버섯모,독 포자를 뿌려 들이마시고 괴로워하는 상대에게 강렬한 펀치를 날린다.,"['풀', '격투']",1.2,버섯포켓몬,39.2,"['포자', '포이즌힐']"
360,287,게을로,하루 중 20시간을 잔다. 보고 있는 상대의 졸음을 유도하는 것도 가지고 있는 능력 중 하나.,['노말'],0.8,게으름뱅이포켓몬,24.0,['게으름']
361,288,발바로,몸을 움직이지 않으면 스트레스가 너무 쌓여서 상태가 나빠져 버린다.,['노말'],1.4,성난원숭이포켓몬,46.5,['의기양양']
362,289,게을킹,세계에서 제일 게으르지만 쌓인 에너지를 한 번에 표출하면 무서울 정도의 파워를 발휘한다.,['노말'],2.0,나태포켓몬,130.5,['게으름']
363,290,토중몬,땅 밑에서 성장한다. 거의 보이지 않는 눈 대신 더듬이로 상황을 살핀다.,"['벌레', '땅']",0.5,신참포켓몬,5.5,['복안']
364,291,아이스크,매우 고속으로 움직이므로 모습이 보이지 않게 될 때가 있다. 수액에 모여든다.,"['벌레', '비행']",0.8,시노비포켓몬,12.0,['가속']
365,292,껍질몬,허물 속으로 영혼이 들어갔다. 등에 난 틈새로 들여다보면 영혼을 빼앗겨 버린다고 한다.,"['벌레', '고스트']",0.8,허물포켓몬,1.2,['불가사의부적']
366,293,소곤룡,평소에는 속삭이는 듯한 울음소리를 낸다. 불안해지면 제트기와 같은 음량으로 울어 댄다.,['노말'],0.6,속삭임포켓몬,16.3,['방음']
367,294,노공룡,큰 소리의 충격파로 트럭을 뒤집어 버린다. 발을 쿵쾅거리며 파워를 올린다.,['노말'],1.0,큰목소리포켓몬,40.5,['방음']
368,295,폭음룡,폭음룡이 울부짖는 소리는 10km 전방까지 닿는다. 몸 곳곳의 구멍에서 갖가지 소리를 낸다.,['노말'],1.5,소음포켓몬,84.0,['방음']
369,296,마크탕,힘든 수행을 반복하며 강해진다. 어떤 공격도 참아 내는 근성의 포켓몬이다.,['격투'],1.0,근성포켓몬,86.4,"['두꺼운지방', '근성']"
370,297,하리뭉,힘겨루기를 매우 좋아한다. 달리는 열차를 손바닥치기로 멈추게 하는 파워를 가졌다.,['격투'],2.3,손바닥치기포켓몬,253.8,"['두꺼운지방', '근성']"
371,298,루리리,고무공처럼 잘 튀는 꼬리를 휘두르며 자신보다도 커다란 상대에게 맞선다.,"['노말', '페어리']",0.2,물방울포켓몬,2.0,"['두꺼운지방', '천하장사']"
372,299,코코파스,코코파스의 코의 자석은 절대로 고장 나지 않아서 여행하는 트레이너의 좋은 파트너이다.,['바위'],1.0,컴퍼스포켓몬,97.0,"['옹골참', '자력']"
373,300,에나비,움직이는 것을 무심코 쫓아간다. 자신의 꼬리를 쫓아서 똑같은 장소를 빙글빙글 돈다.,['노말'],0.6,작은고양이포켓몬,11.0,"['헤롱헤롱바디', '노말스킨']"
374,301,델케티,아름다운 털을 가지고 있어서 여성 트레이너들에게 매우 인기 있다. 정해진 거처를 갖고 있지 않다.,['노말'],1.1,새침떼기포켓몬,32.6,"['헤롱헤롱바디', '노말스킨']"
375,302,깜까미,어두운 동굴에 거처를 만들고 예리한 손톱을 써서 보석을 파내어 먹는다.,"['악', '고스트']",0.5,어둠포켓몬,11.0,"['날카로운눈', '시간벌기']"
376,302,메가깜까미,메가진화의 영향을 받아서 거대화한 가슴의 보석은 어떤 공격도 튕겨낸다.,"['악', '고스트']",0.5,어둠포켓몬,161.0,['매직미러']
377,303,입치트,뿔이 변형되어 생긴 큰 턱이 머리에 달려 있다. 철골을 물어서 끊어 버린다.,"['강철', '페어리']",0.6,배반포켓몬,11.5,"['괴력집게', '위협']"
378,303,메가입치트,얌전한 얼굴로 상대를 방심하게 만들고 큰 턱으로 덥석 문다. 한번 물면 절대로 놓지 않는다.,"['강철', '페어리']",1.0,배반포켓몬,23.5,['천하장사']
379,304,가보리,평소에는 산속에서 살고 있지만 배가 고프면 산기슭에 나타나 선로나 차를 먹어 버린다.,"['강철', '바위']",0.4,철갑옷포켓몬,60.0,"['옹골참', '돌머리']"
380,305,갱도라,철광석을 파내어 먹는다. 강철의 몸을 서로 부딪치며 영역 싸움을 하는 습성이 있다.,"['강철', '바위']",0.9,철갑옷포켓몬,120.0,"['옹골참', '돌머리']"
381,306,보스로라,강철의 뿔로 단단한 암반을 무너뜨리며 식량이 되는 철을 찾아서 터널을 판다.,"['강철', '바위']",2.1,철갑옷포켓몬,360.0,"['옹골참', '돌머리']"
382,306,메가보스로라,산을 통째로 영역으로 한다. 상처가 많은 보스로라일수록 많이 싸웠다는 것이므로 얕볼 수 없다.,['강철'],2.2,철갑옷포켓몬,395.0,['필터']
383,307,요가랑,매일 요가 수행을 거르지 않는다. 명상을 통해서 정신력을 높인다.,"['격투', '에스퍼']",0.6,명상포켓몬,11.2,['순수한힘']
384,308,요가램,요가 수행으로 단련된 사이코 파워로 상대의 움직임을 예상할 수 있다.,"['격투', '에스퍼']",1.3,명상포켓몬,31.5,['순수한힘']
385,308,메가요가램,춤추는 듯한 우아한 움직임으로 공격을 피하며 상대에게 강력한 일격을 선사한다.,"['격투', '에스퍼']",1.3,명상포켓몬,31.5,['순수한힘']
386,309,썬더라이,털에 모은 전기를 써서 근육을 자극함으로써 순발력을 높인다.,['전기'],0.6,천둥번개포켓몬,15.2,"['정전기', '피뢰침']"
387,310,썬더볼트,갈기를 통해 전기를 방출한다. 머리 위에 번개 구름을 만들고 천둥 번개를 떨어뜨려 공격한다.,['전기'],1.5,방전포켓몬,40.2,"['정전기', '피뢰침']"
388,310,메가썬더볼트,좀처럼 사람 앞에 모습을 드러내지 않는다. 번개가 떨어진 곳에 보금자리가 있다고 한다.,['전기'],1.8,방전포켓몬,44.0,['위협']
389,311,플러시,몸에서 스파크를 일으켜서 동료를 응원한다. 전신주에 올라가서 전기를 흡수한다.,['전기'],0.4,응원포켓몬,4.2,['플러스']
390,312,마이농,마이농과 플러시의 전기는 혈액의 흐름을 좋게 하여 근육 결림을 푸는 효과가 있다.,['전기'],0.4,응원포켓몬,4.2,['마이너스']
391,313,볼비트,물이 깨끗한 연못에 서식한다. 밤이 되면 엉덩이가 빛나며 이를 깜빡여서 동료와 대화한다.,['벌레'],0.7,반딧불포켓몬,17.7,"['발광', '벌레의알림']"
392,314,네오비트,달콤한 향기로 볼비트를 유도해서 200개 이상의 모양을 밤하늘에 그린다.,['벌레'],0.6,반딧불포켓몬,17.7,"['둔감', '색안경']"
393,315,로젤리아,맑은 물을 마시고 자란 로젤리아는 산뜻한 색상의 꽃을 피우는 것으로 알려져 있다.,"['풀', '독']",0.3,가시포켓몬,2.0,"['자연회복', '독가시']"
394,316,꼴깍몬,무엇이든 소화하는 위를 가졌다. 소화할 때 발생하는 가스는 강렬한 악취가 난다.,['독'],0.4,밥통포켓몬,10.3,"['해감액', '점착']"
395,317,꿀꺽몬,입에 들어가는 크기의 것이라면 무엇이든 통째로 삼킨다. 특수한 위액으로 무엇이든 소화한다.,['독'],1.7,독봉지포켓몬,80.0,"['해감액', '점착']"
396,318,샤프니아,영역에 침입한 상대를 집단으로 공격한다. 날카로운 이빨은 보트의 밑바닥도 물어뜯는다.,"['물', '악']",0.8,사나움포켓몬,20.8,['까칠한피부']
397,319,샤크니아,철판도 물어뜯는 이빨을 가졌으며 헤엄치는 속도는 시속 120km다. 별명은 바다의 건달이다.,"['물', '악']",1.8,난폭포켓몬,88.8,['까칠한피부']
398,319,메가샤크니아,머리에 돋아난 가시는 이빨이 변화한 것이다. 상처 입고 부러져도 그 자리에 몇 번이고 생겨난다.,"['물', '악']",2.5,난폭포켓몬,130.3,['옹골찬턱']
399,320,고래왕자,맑은 날에는 모래 해변에 올라가 공처럼 튀면서 논다. 코에서 물을 뿜어낸다.,['물'],2.0,둥근고래포켓몬,130.0,"['수의베일', '둔감']"
400,321,고래왕,제일 큰 포켓몬이다. 숨을 들이쉬지 않고 3000m의 깊이까지 잠수할 수 있다.,['물'],14.5,뜸고래포켓몬,398.0,"['수의베일', '둔감']"
401,322,둔타,1200도의 마그마가 체내에서 끓고 있다. 추워지면 마그마가 굳어서 움직임이 둔해진다.,"['불꽃', '땅']",0.7,둔감포켓몬,24.0,"['둔감', '단순']"
402,323,폭타,화산의 분화구에서 생활한다. 10년마다 등의 혹이 대분화하는 것으로 유명하다.,"['불꽃', '땅']",1.9,분화포켓몬,220.0,"['마그마의무장', '하드록']"
403,323,메가폭타,등의 혹 모양 화산은 10년마다 대분화하나 심하게 화가 나도 분화한다.,"['불꽃', '땅']",2.5,분화포켓몬,320.5,['우격다짐']
404,324,코터스,등껍질 안에서 석탄을 태운다. 적에게 공격받으면 검은 연기를 흩뿌리고 도망친다.,['불꽃'],0.5,석탄포켓몬,80.4,"['하얀연기', '가뭄']"
405,325,피그점프,뛰어오르는 것을 멈추면 죽는다고 한다. 머리에 이고 있는 진주가 사이코 파워를 증폭시켜 준다.,['에스퍼'],0.7,바운스포켓몬,30.6,"['두꺼운지방', '마이페이스']"
406,326,피그킹,상대를 조종할 때 사용하는 이상한 스텝은 옛날에 외국에서 크게 유행했던 적이 있다.,['에스퍼'],0.9,조작포켓몬,71.5,"['두꺼운지방', '마이페이스']"
407,327,얼루기,똑같은 얼룩무늬의 얼루기는 없다. 휘청휘청거리는 걸음걸이로 상대의 노림수를 피한다.,['노말'],1.1,얼룩팬더포켓몬,5.0,"['마이페이스', '갈지자걸음']"
408,328,톱치,건조한 사막에 서식한다. 원뿔형의 보금자리 속에서 조용히 먹잇감을 계속 기다린다.,['땅'],0.7,개미지옥포켓몬,15.0,"['괴력집게', '개미지옥']"
409,329,비브라바,미숙한 날개는 나는 것보다는 비벼서 발생하는 초음파로 적을 공격하는 데 사용한다.,"['땅', '드래곤']",1.1,진동포켓몬,15.3,['부유']
410,330,플라이곤,사막의 정령이라고 불린다. 날개를 쳐서 일으킨 모래바람 속에 숨어 있다.,"['땅', '드래곤']",2.0,정령포켓몬,82.0,['부유']
411,331,선인왕,사막 같은 혹독한 환경을 좋아한다. 몸속에 축적된 물로 30일간 살 수 있다.,['풀'],0.4,선인장포켓몬,51.3,['모래숨기']
412,332,밤선인,사막의 여행자 뒤를 집단으로 쫓아 지쳐 움직이지 못하기를 기다린다.,"['풀', '악']",1.3,허수아비포켓몬,77.4,['모래숨기']
413,333,파비코,솜 같은 날개를 손질하는 일은 절대 거르지 않는다. 더러워지면 물로 깨끗하게 씻는다.,"['노말', '비행']",0.4,솜새포켓몬,1.2,['자연회복']
414,334,파비코리,마음이 서로 통한 사람이 있으면 부드럽고 아름다운 날개로 살짝 감싸고 허밍을 한다.,"['드래곤', '비행']",1.1,허밍포켓몬,20.6,['자연회복']
415,334,메가파비코리,넓은 하늘을 느긋하게 난다. 파비코리의 아름다운 콧노래를 들으면 황홀한 꿈을 꾸는 기분이다.,"['드래곤', '페어리']",1.5,허밍포켓몬,20.6,['페어리스킨']
416,335,쟝고,세비퍼와는 사연이 깊은 사이. 만나면 곧바로 앞발의 발톱을 펼쳐 위협한다.,['노말'],1.3,고양이족제비포켓몬,40.3,['면역']
417,336,세비퍼,단단한 바위로 칼날 같은 꼬리를 간다. 수풀에 숨어서 먹이에 접근한 다음 독 이빨로 공격한다.,['독'],2.7,송곳뱀포켓몬,52.5,['탈피']
418,337,루나톤,보름달의 밤이 되면 활발하게 활동하기 때문에 달의 변화와 관계있다고 전해진다.,"['바위', '에스퍼']",1.0,별똥별포켓몬,168.0,['부유']
419,338,솔록,태양의 분신이라는 소문이 도는 신종 포켓몬이다. 몸을 회전시켜 빛을 발한다.,"['바위', '에스퍼']",1.2,별똥별포켓몬,154.0,['부유']
420,339,미꾸리,2개의 수염은 민감한 레이더이다. 진흙으로 탁해진 물속에서도 먹이의 위치를 감지한다.,"['물', '땅']",0.4,수염물고기포켓몬,1.9,"['둔감', '위험예지']"
421,340,메깅,영역 의식이 매우 강하여 외부의 적이 다가오면 격렬하게 지면을 울리며 덤벼든다.,"['물', '땅']",0.9,수염물고기포켓몬,23.6,"['둔감', '위험예지']"
422,341,가재군,외국에서 왔다. 더러운 강에서도 개체 수가 증가할 만큼 강한 생명력을 가졌다.,['물'],0.6,건달포켓몬,11.5,"['괴력집게', '조가비갑옷']"
423,342,가재장군,호전적인 포켓몬으로 자신의 영역에서 모든 포켓몬을 집게로 집어서 내던진다!,"['물', '악']",1.1,불량배포켓몬,32.8,"['괴력집게', '조가비갑옷']"
424,343,오뚝군,한 다리로 회전하면서 이동한다. 고대 유적에서 발견된 희귀한 포켓몬이다.,"['땅', '에스퍼']",0.5,토우포켓몬,21.5,['부유']
425,344,점토도리,고대의 진흙 인형이 괴이한 광선을 쬐어 생명이 깃들면서 포켓몬이 되었다.,"['땅', '에스퍼']",1.5,토우포켓몬,108.0,['부유']
426,345,릴링,약 1억 년 전의 해저에서 살고 있던 고대의 포켓몬이다. 과학의 힘으로 부활했다.,"['바위', '풀']",1.0,바다나리포켓몬,23.8,['흡반']
427,346,릴리요,따뜻한 바다의 얕은 곳에 있다. 바닷물이 빠지면 모래 해변에 숨어 있는 먹이를 파내어 먹는다.,"['바위', '풀']",1.5,바위단지포켓몬,60.4,['흡반']
428,347,아노딥스,화석에서 부활한 포켓몬의 조상 중 하나. 바다에서 살고 발톱으로 먹이를 잡는다.,"['바위', '벌레']",0.7,고대새우포켓몬,12.5,['전투무장']
429,348,아말도,진화하여 지상에서 살게 되었다. 전신이 튼튼한 갑옷으로 덮여 있다.,"['바위', '벌레']",1.5,갑주포켓몬,68.2,['전투무장']
430,349,빈티나,더러운 물이라도 아무렇지 않은 터프한 포켓몬. 하지만 추레하고 초라해서 인기는 없다.,['물'],0.6,물고기포켓몬,7.4,"['쓱쓱', '둔감']"
431,350,밀로틱,무지개색이라고 전해지는 아름다운 비늘은 보는 방향을 바꾸면 여러 가지 색으로 변화한다.,['물'],6.2,사랑포켓몬,162.0,"['이상한비늘', '승기']"
432,351,캐스퐁,날씨에 따라서 모습이 바뀐다. 최근 발견된 바에 따르면 물의 분자와 똑 닮았다고 한다.,['노말'],0.3,날씨포켓몬,0.8,['기분파']
433,352,켈리몬,몸의 색을 자유롭게 바꾸는 능력을 가지고 있다. 배에 있는 톱니무늬만은 바뀌지 않는다.,['노말'],1.0,색변화포켓몬,22.0,['변색']
434,353,어둠대신,원한이나 질투 같은 감정이 좋아하는 먹이다. 뾰족하게 솟은 뿔이 인간의 기분을 감지해 낸다.,['고스트'],0.6,인형포켓몬,2.3,"['불면', '통찰']"
435,354,다크펫,버려진 인형에 원념이 깃들어 포켓몬이 되었다. 어둑한 뒷골목에서 발견된다.,['고스트'],1.1,봉제인형포켓몬,12.5,"['불면', '통찰']"
436,354,메가다크펫,버려진 인형에 원념이 깃들어 포켓몬이 되었다. 자신을 버린 아이를 찾고 있다.,['고스트'],1.2,봉제인형포켓몬,13.0,['짓궂은마음']
437,355,해골몽,아이가 가진 생체 에너지를 즐겨 먹는다. 한밤중에 아이를 찾아 마을을 배회한다.,['고스트'],0.8,마중포켓몬,15.0,['부유']
438,356,미라몽,이상한 손의 움직임을 본 상대의 영혼을 몸에서 끄집어낸다고 하여 공포의 대상으로 여겨지고 있다.,['고스트'],1.6,손짓포켓몬,30.6,['프레셔']
439,357,트로피우스,열대 정글에 서식한다. 목에 달린 송이는 달고 맛있다. 1년에 2번 열매를 맺는다.,"['풀', '비행']",2.0,후르츠포켓몬,100.0,"['엽록소', '선파워']"
440,358,치렁,머리의 빨판으로 나뭇가지나 집의 처마 밑에 매달린다. 7종류의 음색을 나누어 쓴다.,['에스퍼'],0.6,풍경포켓몬,1.0,['부유']
441,359,앱솔,재해의 위험을 감지한다. 위험을 알리는 때에만 사람 앞에 나타난다고 한다.,['악'],1.2,재난포켓몬,47.0,"['프레셔', '대운']"
442,359,메가앱솔,날개처럼 곤두선 털을 날갯짓하며 상대를 위압하는 오라를 뿜어낸다.,['악'],1.2,재난포켓몬,49.0,['매직미러']
443,360,마자,동료들과 밀어내기 놀이를 하면서 인내심이 강한 성격으로 자란다. 달콤한 과일을 매우 좋아한다.,['에스퍼'],0.6,명랑포켓몬,14.0,['그림자밟기']
444,361,눈꼬마,커다란 잎사귀 아래서 여러 마리의 눈꼬마가 모여 사이좋게 살고 있다고 한다.,['얼음'],0.7,눈우산포켓몬,16.8,"['정신력', '아이스바디']"
445,362,얼음귀신,커다란 입에서 뿜는 냉기로 먹이는 한순간에 꽁꽁. 그대로 아드득아드득 잡아먹는다.,['얼음'],1.5,얼굴포켓몬,256.5,"['정신력', '아이스바디']"
446,362,메가얼음귀신,과잉 메가진화 에너지가 입에서 넘쳐 턱이 빠졌다. 항상 눈보라를 내뿜고 있다.,['얼음'],2.1,얼굴포켓몬,350.2,['프리즈스킨']
447,363,대굴레오,유빙의 위를 데굴데굴 굴러서 해안에 다다른다. 헤엄치기에는 불편한 체형이다.,"['얼음', '물']",0.8,손뼉포켓몬,39.5,"['두꺼운지방', '아이스바디']"
448,364,씨레오,무엇이든 코 위에서 돌리는 버릇을 가지고 있다. 돌리면서 냄새나 감촉을 기억한다.,"['얼음', '물']",1.1,공돌리기포켓몬,87.6,"['두꺼운지방', '아이스바디']"
449,365,씨카이저,큰 얼음을 이빨로 부순다. 두꺼운 지방은 추위뿐만 아니라 상대의 공격도 이겨 낸다.,"['얼음', '물']",1.4,얼음깨기포켓몬,150.6,"['두꺼운지방', '아이스바디']"
450,366,진주몽,평생동안 하나만 만드는 진주는 사이코 파워를 증폭시키는 작용을 한다고 한다.,['물'],0.4,두조개포켓몬,52.5,['조가비갑옷']
451,367,헌테일,심해에 서식하는 포켓몬이다. 작은 물고기 형태를 한 꼬리로 먹이를 유인하여 붙잡는다.,['물'],1.7,깊은바다포켓몬,27.0,['쓱쓱']
452,368,분홍장이,바다의 밑바닥에 살고 있지만 봄이 되면 몸의 분홍색이 웬일인지 선명하게 물든다.,['물'],1.8,남해포켓몬,22.6,['쓱쓱']
453,369,시라칸,심해 조사에서 발견된 희귀한 포켓몬이다. 1억 년 동안 모습이 바뀌지 않았다.,"['물', '바위']",1.0,장수포켓몬,23.4,"['쓱쓱', '돌머리']"
454,370,사랑동이,하트 모양이 인기가 많다. 좋아하는 사람에게 사랑동이를 보내는 풍습이 남아 있는 곳이 있다.,['물'],0.6,랑데부포켓몬,8.7,['쓱쓱']
455,371,아공이,강철에 비견될 정도로 단단한 머리는 바위도 산산조각을 내 버린다. 날개가 자라기를 계속해서 기다린다.,['드래곤'],0.6,돌머리포켓몬,42.1,['돌머리']
